"","Date","GDPC1","PCEPILFE","PCEPI","FEDFUNDS","CPIAUCSL","BAA10YM","T10YFFM","UNRATE","M2SL"
"1",1959-01-01,3352.129,15.515,15.177,2.57,28.993,0.88,1.42,5.8,287.8
"2",1959-04-01,3427.667,15.598,15.239,3.08,29.043,0.7,1.17,5.1,292.1
"3",1959-07-01,3430.057,15.702,15.331,3.58,29.193,0.61,0.93,5.3,296.1
"4",1959-10-01,3439.832,15.792,15.415,3.99,29.37,0.69,0.59,5.6,297.1
"5",1960-01-01,3517.181,15.842,15.435,3.93,29.397,0.82,0.55,5.1,298.6
"6",1960-04-01,3498.246,15.902,15.515,3.7,29.573,0.99,0.56,5.2,301.1
"7",1960-07-01,3515.385,15.965,15.573,2.94,29.59,1.27,0.9,5.5,306.5
"8",1960-10-01,3470.278,16.017,15.642,2.3,29.78,1.21,1.59,6.3,310.9
"9",1961-01-01,3493.703,16.044,15.671,2,29.84,1.28,1.78,6.8,316.3
"10",1961-04-01,3553.021,16.097,15.669,1.73,29.83,1.23,2.06,7,322.1
"11",1961-07-01,3621.252,16.167,15.726,1.68,29.947,1.13,2.3,6.8,327.6
"12",1961-10-01,3692.289,16.206,15.743,2.4,29.99,1.14,1.57,6.2,333.3
"13",1962-01-01,3758.147,16.266,15.811,2.46,30.107,1.05,1.56,5.6,340.2
"14",1962-04-01,3792.149,16.328,15.867,2.61,30.22,1.14,1.27,5.5,347.4
"15",1962-07-01,3838.776,16.382,15.909,2.85,30.307,1.06,1.14,5.6,352.8
"16",1962-10-01,3851.421,16.413,15.958,2.92,30.38,1.05,0.98,5.5,359.9
"17",1963-01-01,3893.482,16.467,16.004,2.97,30.477,1,0.93,5.8,367.9
"18",1963-04-01,3937.183,16.529,16.029,2.96,30.533,0.89,1,5.7,375.9
"19",1963-07-01,4023.755,16.593,16.107,3.33,30.72,0.8,0.7,5.5,383.6
"20",1963-10-01,4050.147,16.673,16.166,3.45,30.803,0.72,0.67,5.6,391
"21",1964-01-01,4135.553,16.744,16.243,3.46,30.93,0.65,0.72,5.5,397.5
"22",1964-04-01,4180.592,16.793,16.278,3.49,30.98,0.65,0.71,5.2,404.3
"23",1964-07-01,4245.918,16.84,16.331,3.46,31.05,0.63,0.74,5,413.5
"24",1964-10-01,4259.046,16.883,16.385,3.58,31.193,0.64,0.6,5,421.9
"25",1965-01-01,4362.111,16.947,16.439,3.98,31.29,0.58,0.23,4.9,430.4
"26",1965-04-01,4417.225,16.999,16.522,4.08,31.49,0.61,0.13,4.7,437.5
"27",1965-07-01,4515.427,17.052,16.583,4.08,31.583,0.64,0.17,4.4,446.1
"28",1965-10-01,4619.458,17.109,16.634,4.17,31.75,0.49,0.31,4.1,455.8
"29",1966-01-01,4731.888,17.194,16.763,4.56,32.047,0.4,0.21,3.9,464.6
"30",1966-04-01,4748.046,17.334,16.899,4.91,32.337,0.71,-0.13,3.8,470.2
"31",1966-07-01,4788.254,17.477,17.028,5.41,32.617,0.73,-0.27,3.8,473
"32",1966-10-01,4827.537,17.628,17.16,5.56,32.883,1.13,-0.56,3.7,477.7
"33",1967-01-01,4870.299,17.725,17.209,4.82,32.967,1.3,-0.24,3.8,485.5
"34",1967-04-01,4873.287,17.844,17.291,3.99,33.167,1.16,0.83,3.8,497.1
"35",1967-07-01,4919.392,18.006,17.452,3.89,33.5,1.08,1.35,3.8,510.6
"36",1967-10-01,4956.477,18.188,17.602,4.17,33.867,1.08,1.47,3.9,521.4
"37",1968-01-01,5057.553,18.395,17.789,4.79,34.2,1.22,0.82,3.7,530.3
"38",1968-04-01,5142.033,18.609,17.971,5.98,34.533,1.28,-0.24,3.6,539.1
"39",1968-07-01,5181.859,18.817,18.157,5.95,35,1.4,-0.48,3.5,549.5
"40",1968-10-01,5202.212,19.036,18.358,5.92,35.433,1.26,-0.15,3.4,562.3
"41",1969-01-01,5283.597,19.244,18.536,6.57,35.867,1.2,-0.39,3.4,571.9
"42",1969-04-01,5299.625,19.474,18.772,8.33,36.433,1.23,-1.97,3.4,576.9
"43",1969-07-01,5334.6,19.699,19.002,8.98,36.933,1.06,-2.13,3.6,580.6
"44",1969-10-01,5308.556,19.93,19.222,8.94,37.5,1.08,-1.64,3.6,585.6
"45",1970-01-01,5300.652,20.147,19.444,8.57,38.1,1.39,-1.21,4.2,587.7
"46",1970-04-01,5308.164,20.375,19.659,7.89,38.633,1.26,-0.17,4.8,591.7
"47",1970-07-01,5357.077,20.602,19.85,6.71,39.033,1.95,0.76,5.2,605.1
"48",1970-10-01,5299.672,20.891,20.108,5.57,39.6,2.42,1.29,5.8,621.3
"49",1971-01-01,5443.619,21.156,20.299,3.86,39.933,2.51,2.16,5.9,641.3
"50",1971-04-01,5473.059,21.397,20.53,4.57,40.3,2.36,1.68,5.9,666
"51",1971-07-01,5518.072,21.599,20.731,5.48,40.7,2.22,1.01,6,685.9
"52",1971-10-01,5531.032,21.722,20.86,4.75,41,2.52,1.14,5.9,704.4
"53",1972-01-01,5632.649,21.931,21.08,3.55,41.333,2.2,2.49,5.8,725.6
"54",1972-04-01,5760.47,22.079,21.202,4.3,41.6,2.08,1.84,5.7,743.8
"55",1972-07-01,5814.854,22.245,21.388,4.74,41.933,1.88,1.55,5.6,768.8
"56",1972-10-01,5912.22,22.385,21.563,5.15,42.367,1.62,1.23,5.4,794.4
"57",1973-01-01,6058.544,22.541,21.823,6.54,43.033,1.36,0.07,4.9,813.2
"58",1973-04-01,6124.506,22.848,22.242,7.82,43.933,1.29,-1.01,4.9,826.6
"59",1973-07-01,6092.301,23.151,22.647,10.56,44.8,1.26,-3.35,4.8,838.2
"60",1973-10-01,6150.131,23.474,23.111,10,45.933,1.68,-3.24,4.8,849
"61",1974-01-01,6097.258,23.877,23.798,9.32,47.3,1.49,-2.27,5.1,864.7
"62",1974-04-01,6111.751,24.47,24.472,11.25,48.567,1.52,-3.71,5.2,875.1
"63",1974-07-01,6053.978,25.169,25.132,12.09,49.933,1.85,-4.13,5.6,884.5
"64",1974-10-01,6030.464,25.784,25.771,9.35,51.467,2.9,-1.68,6.6,898
"65",1975-01-01,5957.035,26.288,26.256,6.3,52.567,3.11,1.24,8.3,915.1
"66",1975-04-01,5999.61,26.689,26.578,5.42,53.2,2.58,2.63,8.9,948.7
"67",1975-07-01,6102.326,27.089,27.076,6.16,54.267,2.29,2.14,8.5,983.2
"68",1975-10-01,6184.53,27.53,27.53,5.41,55.267,2.52,2.65,8.3,1007
"69",1976-01-01,6323.649,27.949,27.833,4.83,55.9,2.5,2.93,7.7,1039
"70",1976-04-01,6370.025,28.284,28.066,5.2,56.4,2.12,2.58,7.6,1070.2
"71",1976-07-01,6404.895,28.727,28.492,5.28,57.3,1.89,2.45,7.7,1098.6
"72",1976-10-01,6451.177,29.177,28.942,4.87,58.133,2.02,2.32,7.8,1138.4
"73",1977-01-01,6527.703,29.668,29.465,4.66,59.2,1.75,2.69,7.5,1177.1
"74",1977-04-01,6654.466,30.121,29.969,5.16,60.233,1.63,2.21,7.1,1208.8
"75",1977-07-01,6774.457,30.622,30.419,5.82,61.067,1.47,1.54,6.9,1236.6
"76",1977-10-01,6774.592,31.067,30.852,6.51,61.967,1.35,1.08,6.7,1262.2
"77",1978-01-01,6796.26,31.552,31.358,6.76,63.033,1.19,1.25,6.3,1285.8
"78",1978-04-01,7058.92,32.096,32.002,7.28,64.467,1.15,1.04,6,1309.8
"79",1978-07-01,7129.915,32.647,32.564,8.1,65.967,1.01,0.39,6,1334.2
"80",1978-10-01,7225.75,33.233,33.179,9.58,67.5,0.97,-0.76,5.9,1359.1
"81",1979-01-01,7238.727,33.687,33.804,10.07,69.2,1.05,-0.97,5.9,1379.1
"82",1979-04-01,7246.454,34.427,34.728,10.18,71.4,1.28,-1.07,5.7,1411.8
"83",1979-07-01,7300.281,35.063,35.59,10.95,73.7,1.29,-1.84,5.9,1445.2
"84",1979-10-01,7318.535,35.794,36.451,13.58,76.033,1.37,-3.13,6,1466.7
"85",1980-01-01,7341.557,36.67,37.546,15.05,79.033,1.49,-3.06,6.3,1492.4
"86",1980-04-01,7190.289,37.49,38.464,12.69,81.7,2.88,-2.21,7.3,1514.6
"87",1980-07-01,7181.743,38.325,39.364,9.84,83.233,2.21,1.12,7.7,1560.3
"88",1980-10-01,7315.677,39.258,40.338,15.85,85.567,2.25,-3.43,7.4,1593.5
"89",1981-01-01,7459.022,40.129,41.384,16.57,87.933,2.29,-3.61,7.4,1620.7
"90",1981-04-01,7403.745,40.888,42.078,17.78,89.767,2.02,-4.03,7.4,1664.6
"91",1981-07-01,7492.405,41.641,42.772,17.58,92.267,1.63,-2.73,7.4,1694.1
"92",1981-10-01,7410.768,42.381,43.427,13.59,93.767,2.6,0.5,8.2,1737.8
"93",1982-01-01,7295.631,43.002,43.979,14.23,94.6,2.74,0.07,8.8,1777.1
"94",1982-04-01,7328.912,43.583,44.402,14.51,95.967,2.85,-0.58,9.4,1815.1
"95",1982-07-01,7300.896,44.282,45.103,11.01,97.633,3.13,2.11,9.9,1845
"96",1982-10-01,7303.817,44.899,45.601,9.29,97.933,3.72,1.38,10.7,1886.4
"97",1983-01-01,7400.066,45.488,45.978,8.65,98,3.27,1.91,10.4,1990.5
"98",1983-04-01,7568.456,45.836,46.398,8.8,99.133,2.71,1.74,10.1,2041.7
"99",1983-07-01,7719.746,46.533,47.008,9.46,100.1,1.9,2.17,9.4,2074
"100",1983-10-01,7880.794,46.905,47.318,9.43,101.1,1.92,2.26,8.5,2111.7
"101",1984-01-01,8034.847,47.379,47.83,9.69,102.533,1.8,2.26,7.9,2157.2
"102",1984-04-01,8173.67,47.934,48.293,10.56,103.5,1.5,2.64,7.4,2203.6
"103",1984-07-01,8252.465,48.384,48.665,11.39,104.4,1.84,1.48,7.4,2232.8
"104",1984-10-01,8320.199,48.728,48.966,9.27,105.3,1.86,2.48,7.3,2282.2
"105",1985-01-01,8400.82,49.393,49.543,8.48,106.267,1.81,3.11,7.2,2350.9
"106",1985-04-01,8474.787,49.821,49.945,7.92,107.233,2.21,2.89,7.3,2392.5
"107",1985-07-01,8604.22,50.333,50.337,7.9,107.9,2.13,2.44,7.2,2443.3
"108",1985-10-01,8668.188,50.694,50.688,8.1,109,2.22,1.66,7,2479.3
"109",1986-01-01,8749.127,51.241,51.047,7.83,109.567,2.46,0.73,7,2516
"110",1986-04-01,8788.524,51.592,50.993,6.92,109.033,2.67,0.68,7.2,2582.5
"111",1986-07-01,8872.601,51.947,51.263,6.21,109.7,2.87,1.1,7,2647
"112",1986-10-01,8920.193,52.37,51.573,6.27,110.467,2.83,1,6.8,2705.6
"113",1987-01-01,8986.367,52.701,52.061,6.22,111.8,2.47,0.97,6.6,2748.4
"114",1987-04-01,9083.256,53.213,52.564,6.65,113.067,2.01,1.69,6.3,2771.7
"115",1987-07-01,9162.024,53.69,53.062,6.84,114.267,2.03,2.03,6,2788.9
"116",1987-10-01,9319.332,54.235,53.52,6.92,115.333,2.26,2.21,5.8,2820
"117",1988-01-01,9367.502,54.759,53.943,6.66,116.233,2.34,1.75,5.7,2869.5
"118",1988-04-01,9490.594,55.422,54.539,7.16,117.567,2.07,1.75,5.5,2925
"119",1988-07-01,9546.206,56.061,55.21,7.98,119,1.97,1.12,5.5,2952
"120",1988-10-01,9673.405,56.687,55.769,8.47,120.3,1.56,0.49,5.3,2977.9
"121",1989-01-01,9771.725,57.306,56.41,9.44,121.667,1.44,-0.24,5.2,2994.5
"122",1989-04-01,9846.293,57.827,57.169,9.73,123.633,1.59,-0.95,5.2,3015.2
"123",1989-07-01,9919.228,58.257,57.506,9.08,124.6,1.78,-0.98,5.2,3073.1
"124",1989-10-01,9938.767,58.791,57.959,8.61,125.867,1.91,-0.71,5.4,3133.3
"125",1990-01-01,10047.386,59.468,58.799,8.25,128.033,1.67,0.17,5.3,3178.7
"126",1990-04-01,10083.855,60.132,59.333,8.24,129.3,1.63,0.43,5.3,3205.3
"127",1990-07-01,10090.569,60.74,60.087,8.16,131.533,1.71,0.54,5.7,3240.4
"128",1990-10-01,9998.704,61.25,60.881,7.74,133.767,2.2,0.65,6.1,3264.6
"129",1991-01-01,9951.916,61.793,61.202,6.43,134.767,2.19,1.59,6.6,3304.7
"130",1991-04-01,10029.51,62.27,61.536,5.86,135.567,1.79,2.27,6.8,3342.4
"131",1991-07-01,10080.195,62.83,61.954,5.64,136.6,1.74,2.3,6.9,3355.3
"132",1991-10-01,10115.329,63.325,62.403,4.82,137.733,2.05,2.53,7.1,3365.9
"133",1992-01-01,10236.435,63.809,62.795,4.02,138.667,1.9,3.28,7.4,3395
"134",1992-04-01,10347.429,64.26,63.212,3.77,139.733,1.75,3.61,7.6,3397.2
"135",1992-07-01,10449.673,64.64,63.615,3.26,140.8,2.09,3.36,7.6,3401
"136",1992-10-01,10558.648,65.114,64.059,3.04,142.033,2.13,3.71,7.4,3425
"137",1993-01-01,10576.275,65.563,64.441,3.04,143.067,2.12,3.24,7.1,3415.1
"138",1993-04-01,10637.847,66.061,64.874,3,144.1,2.15,2.99,7.1,3430.2
"139",1993-07-01,10688.606,66.43,65.156,3.06,144.767,2.01,2.56,6.8,3446.6
"140",1993-10-01,10833.987,66.772,65.531,2.99,145.967,1.95,2.62,6.6,3467.1
"141",1994-01-01,10939.116,67.075,65.766,3.21,146.7,1.78,2.85,6.6,3476.9
"142",1994-04-01,11087.361,67.526,66.133,3.94,147.533,1.51,3.14,6.2,3483.9
"143",1994-07-01,11152.176,67.903,66.608,4.49,148.9,1.51,2.85,6,3486.7
"144",1994-10-01,11279.932,68.248,66.92,5.17,149.767,1.37,2.67,5.6,3486
"145",1995-01-01,11319.951,68.606,67.248,5.81,150.867,1.39,1.67,5.5,3491.1
"146",1995-04-01,11353.721,69.013,67.638,6.02,152.1,1.61,0.6,5.7,3524.1
"147",1995-07-01,11450.31,69.342,67.915,5.8,152.867,1.73,0.53,5.7,3586.2
"148",1995-10-01,11528.067,69.69,68.213,5.72,153.7,1.75,0.17,5.6,3620.9
"149",1996-01-01,11614.418,69.964,68.593,5.36,155.067,1.8,0.55,5.5,3665.5
"150",1996-04-01,11808.14,70.296,69.052,5.24,156.4,1.58,1.48,5.5,3709.9
"151",1996-07-01,11914.063,70.617,69.346,5.31,157.3,1.51,1.47,5.3,3744.8
"152",1996-10-01,12037.775,71.019,69.819,5.28,158.667,1.57,1.06,5.3,3795.5
"153",1997-01-01,12115.472,71.298,70.127,5.28,159.633,1.51,1.29,5.2,3847.4
"154",1997-04-01,12317.221,71.67,70.303,5.52,160,1.49,1.17,5,3890.7
"155",1997-07-01,12471.01,71.837,70.488,5.53,160.8,1.51,0.71,4.9,3951.5
"156",1997-10-01,12577.495,72.065,70.71,5.51,161.667,1.53,0.4,4.7,4013.3
"157",1998-01-01,12703.742,72.277,70.715,5.52,162,1.67,0.07,4.6,4086.5
"158",1998-04-01,12821.339,72.498,70.843,5.5,162.533,1.66,0.1,4.4,4162.9
"159",1998-07-01,12982.752,72.756,71.062,5.53,163.367,1.92,-0.33,4.5,4233.4
"160",1998-10-01,13191.67,72.988,71.249,4.86,164.133,2.58,-0.19,4.4,4343.1
"161",1999-01-01,13315.597,73.171,71.389,4.73,164.733,2.42,0.25,4.3,4420
"162",1999-04-01,13426.748,73.425,71.796,4.75,165.967,2.2,0.79,4.3,4484.4
"163",1999-07-01,13604.771,73.695,72.191,5.09,167.2,2.22,0.79,4.2,4551.3
"164",1999-10-01,13827.98,74.042,72.629,5.31,168.433,2.1,0.83,4.1,4613.3
"165",2000-01-01,13878.147,74.43,73.219,5.68,170.1,1.85,0.8,4,4685.3
"166",2000-04-01,14130.908,74.689,73.568,6.27,171.433,2.42,-0.1,3.9,4763.9
"167",2000-07-01,14145.312,75.05,74.042,6.52,173,2.43,-0.63,4,4820
"168",2000-10-01,14229.765,75.421,74.46,6.47,174.233,2.65,-0.91,3.9,4891.5
"169",2001-01-01,14183.12,75.912,75.012,5.59,175.9,2.83,-0.54,4.2,5020.6
"170",2001-04-01,14271.694,76.199,75.363,4.33,177.133,2.77,0.94,4.4,5147.5
"171",2001-07-01,14214.516,76.395,75.401,3.5,177.633,2.97,1.48,4.8,5263
"172",2001-10-01,14253.574,76.764,75.432,2.13,177.5,3.15,2.64,5.5,5383.9
"173",2002-01-01,14372.785,77,75.584,1.73,178.067,2.88,3.34,5.7,5477.6
"174",2002-04-01,14460.848,77.423,76.145,1.75,179.467,2.92,3.35,5.8,5521.1
"175",2002-07-01,14519.633,77.836,76.539,1.74,180.433,3.37,2.52,5.7,5625.6
"176",2002-10-01,14537.58,78.113,76.896,1.44,181.5,3.59,2.56,5.9,5741
"177",2003-01-01,14614.141,78.354,77.484,1.25,183.367,3.2,2.67,5.9,5835.6
"178",2003-04-01,14743.567,78.651,77.562,1.25,183.067,2.85,2.37,6.1,5951.4
"179",2003-07-01,14988.782,79.011,78.073,1.02,184.433,2.57,3.22,6.1,6072.1
"180",2003-10-01,15162.76,79.365,78.457,1,185.133,2.38,3.29,5.8,6066.7
"181",2004-01-01,15248.68,79.802,79.062,1,186.7,2.25,3.02,5.7,6113.3
"182",2004-04-01,15366.85,80.258,79.594,1.01,188.167,2.06,3.59,5.6,6243.3
"183",2004-07-01,15512.619,80.545,79.985,1.43,189.367,2.15,2.87,5.4,6313.4
"184",2004-10-01,15670.88,80.982,80.669,1.95,191.4,2.01,2.22,5.4,6397.1
"185",2005-01-01,15844.727,81.558,81.138,2.47,192.367,1.67,1.83,5.3,6433.1
"186",2005-04-01,15922.782,81.962,81.651,2.94,193.667,1.81,1.22,5.1,6478.3
"187",2005-07-01,16047.587,82.281,82.532,3.46,196.6,1.77,0.75,5,6570.6
"188",2005-10-01,16136.734,82.831,83.189,3.98,198.433,1.85,0.51,5,6658.5
"189",2006-01-01,16353.835,83.311,83.621,4.46,199.467,1.74,0.11,4.7,6745.3
"190",2006-04-01,16396.151,83.975,84.355,4.91,201.267,1.67,0.16,4.6,6817.3
"191",2006-07-01,16420.738,84.427,84.962,5.25,203.167,1.7,-0.35,4.6,6915.9
"192",2006-10-01,16561.866,84.791,84.822,5.25,202.333,1.65,-0.62,4.4,7031.1
"193",2007-01-01,16611.69,85.375,85.597,5.26,204.317,1.62,-0.58,4.5,7131.3
"194",2007-04-01,16713.314,85.731,86.324,5.25,206.631,1.65,-0.4,4.5,7251.8
"195",2007-07-01,16809.587,86.152,86.812,5.07,207.939,1.9,-0.34,4.7,7365.8
"196",2007-10-01,16915.191,86.747,87.694,4.5,210.49,2.25,-0.24,4.8,7443.5
"197",2008-01-01,16843.003,87.207,88.408,3.18,212.77,3.09,0.49,5,7584.1
"198",2008-04-01,16943.291,87.573,89.269,2.09,215.538,3.1,1.8,5.3,7713.1
"199",2008-07-01,16854.295,88.02,90.221,1.94,218.861,3.34,1.92,6,7808.4
"200",2008-10-01,16485.35,87.951,88.781,0.51,213.849,5.59,2.75,6.9,8057.7
"201",2009-01-01,16298.262,87.95,88.181,0.18,212.378,5.48,2.55,8.3,8315.4
"202",2009-04-01,16269.145,88.294,88.531,0.18,213.507,4.67,3.13,9.3,8414.7
"203",2009-07-01,16326.281,88.607,89.142,0.16,215.344,3.14,3.36,9.6,8444.8
"204",2009-10-01,16502.754,89.159,89.83,0.12,217.03,2.87,3.34,9.9,8489.3
"205",2010-01-01,16582.71,89.464,90.177,0.13,217.374,2.57,3.58,9.8,8490
"206",2010-04-01,16743.162,89.705,90.317,0.19,217.297,2.69,3.3,9.6,8578
"207",2010-07-01,16872.266,89.843,90.491,0.19,217.934,2.99,2.6,9.5,8662.7
"208",2010-10-01,16960.864,90.127,91.07,0.19,219.699,3.05,2.68,9.5,8773.7
"209",2011-01-01,16920.632,90.523,91.835,0.16,222.044,2.63,3.3,9,8884.5
"210",2011-04-01,17035.114,91.052,92.738,0.09,224.568,2.64,3.12,9.1,9077.1
"211",2011-07-01,17031.313,91.468,93.167,0.08,226.033,3.04,2.34,9,9450.8
"212",2011-10-01,17222.583,91.794,93.474,0.07,227.047,3.21,1.97,8.6,9611.6
"213",2012-01-01,17367.01,92.373,94.094,0.1,228.326,3.16,1.93,8.3,9783.2
"214",2012-04-01,17444.525,92.755,94.321,0.15,228.808,3.27,1.67,8.2,9937.4
"215",2012-07-01,17469.65,93.023,94.595,0.14,229.841,3.23,1.5,8,10124.6
"216",2012-10-01,17489.852,93.435,95.126,0.16,231.369,2.87,1.55,7.8,10354.9
"217",2013-01-01,17662.4,93.8,95.459,0.14,232.299,2.86,1.81,7.7,10514.2
"218",2013-04-01,17709.671,94.064,95.508,0.12,232.045,2.84,1.88,7.5,10628.7
"219",2013-07-01,17860.45,94.434,95.901,0.08,233.3,2.69,2.63,7.2,10777.4
"220",2013-10-01,18016.147,94.841,96.254,0.09,234.163,2.61,2.66,6.9,10988.8
"221",2014-01-01,17953.974,95.141,96.696,0.07,235.621,2.35,2.69,6.7,11161.7
"222",2014-04-01,18185.911,95.556,97.129,0.09,236.872,2.2,2.53,6.2,11314.8
"223",2014-07-01,18406.941,95.915,97.394,0.09,237.478,2.24,2.41,6.1,11457.7
"224",2014-10-01,18500.031,96.175,97.265,0.1,236.888,2.46,2.18,5.7,11623
"225",2015-01-01,18666.621,96.336,96.829,0.11,235.355,2.53,1.86,5.5,11839.7
"226",2015-04-01,18782.243,96.765,97.312,0.12,236.96,2.67,2.04,5.4,11959.4
"227",2015-07-01,18857.418,97.077,97.565,0.14,237.855,3.02,2.08,5.1,12103.6
"228",2015-10-01,18892.206,97.319,97.49,0.16,237.837,3.23,2.03,5,12280.4
"229",2016-01-01,19001.69,97.726,97.538,0.36,237.689,3.39,1.56,4.9,12545.3
"230",2016-04-01,19062.709,98.262,98.157,0.37,239.59,2.91,1.38,4.9,12761.6
"231",2016-07-01,19197.938,98.689,98.496,0.4,240.607,2.69,1.17,4.9,12968.3
"232",2016-10-01,19304.352,99.029,98.947,0.45,242.135,2.51,1.68,4.8,13167.1
"233",2017-01-01,19398.343,99.488,99.524,0.7,243.839,2.22,1.74,4.6,13349.4
"234",2017-04-01,19506.949,99.821,99.724,0.95,244.12,2.23,1.31,4.4,13524.2
"235",2017-07-01,19660.766,100.123,100.077,1.15,245.287,2.09,1.09,4.3,13677.6
"236",2017-10-01,19882.352,100.568,100.676,1.2,247.238,1.9,1.17,4.2,13814.1
"237",2018-01-01,20044.077,101.208,101.38,1.45,249.322,1.71,1.31,4,13906.4
"238",2018-04-01,20150.476,101.751,101.912,1.74,250.679,1.86,1.18,3.9,14044.7
"239",2018-07-01,20276.154,102.076,102.254,1.92,251.686,1.89,1,3.8,14187.7
"240",2018-10-01,20304.874,102.552,102.642,2.22,252.711,2.11,0.81,3.8,14278.3
"241",2019-01-01,20415.15,102.962,102.877,2.4,253.386,2.32,0.25,3.9,14456.1
"242",2019-04-01,20584.528,103.414,103.422,2.4,255.247,2.26,-0.06,3.6,14646.6
"243",2019-07-01,20817.581,103.802,103.674,2.19,256.089,2.22,-0.39,3.6,14932
"244",2019-10-01,20951.088,104.131,104.08,1.64,257.888,2.12,0.15,3.6,15240.3
"245",2020-01-01,20665.553,104.575,104.416,1.26,258.767,2.51,0.12,3.8,15591.6
"246",2020-04-01,19034.83,104.376,103.962,0.06,256.326,3.22,0.63,13,17659.2
"247",2020-07-01,20511.785,105.177,104.819,0.09,259.242,2.66,0.56,8.8,18416.6
"248",2020-10-01,20724.128,105.64,105.343,0.09,261.05,2.44,0.77,6.7,18933.4
"249",2021-01-01,20990.541,106.57,106.578,0.08,263.67,2.15,1.24,6.2,19560.7
"250",2021-04-01,21309.544,108.139,108.208,0.07,268.623,1.96,1.52,5.9,20342.6
"251",2021-07-01,21483.083,109.421,109.705,0.09,272.89,1.91,1.23,5.1,20808.8
"252",2021-10-01,21847.602,110.814,111.514,0.08,278.68,1.78,1.45,4.2,21322.4
"253",2022-01-01,21738.871,112.43,113.59,0.12,284.826,2.01,1.82,3.8,21631.4
"254",2022-04-01,21708.16,113.734,115.577,0.77,291.706,2.09,2.17,3.6,21688
"255",2022-07-01,21851.134,115.126,116.905,2.19,295.509,2.24,0.92,3.5,21600.4
"256",2022-10-01,21989.981,116.457,118.098,3.65,298.441,2.14,0.19,3.6,21395.4
"257",2023-01-01,22112.329,117.874,119.309,4.52,301.203,1.95,-0.87,3.5,21092.2
"258",2023-04-01,22225.35,118.938,120.045,4.99,303.467,2.09,-1.39,3.6,20800.8
"259",2023-07-01,22490.692,119.541,120.814,5.26,306.034,1.82,-1.11,3.7,20755.9
"260",2023-10-01,22679.255,120.147,121.351,5.33,308.099,1.75,-0.89,3.7,20715.1
"261",2024-01-01,22758.752,121.255,122.372,5.33,310.99,1.57,-1.17,3.8,20777
"262",2024-04-01,22918.739,122.124,123.166,5.33,313.16,1.48,-0.89,4,20946
